,name,duration,parsed,error,text
0,Axis of Mortality,23.519140386000345,False,"No terminal matches ',' in the current parser context, at line 1 col 32

At the beginning of your upkeep, you may have two target players exchan
                               ^
Expected one of: 
	* WORD
	* DASH
","At the beginning of your upkeep, you may have two target players exchange life totals."
1,Adanto Vanguard,23.8363802949998,False,"No terminal matches '~' in the current parser context, at line 1 col 12

As long as ~ is attacking, it gets +2/+0.
           ^
Expected one of: 
	* WORD
	* DASH
","As long as ~ is attacking, it gets +2/+0.
Pay 4 life: ~ gains indestructible until end of turn. (Damage and effects that say ""destroy"" do not destroy it.)"
2,Ashes of the Abhorrent,24.054478279999785,False,"No terminal matches '.' in the current parser context, at line 1 col 89

ctivate abilities of cards in graveyards.
                                        ^
Expected one of: 
	* WORD
	* DASH
","Players can not cast spells from graveyards or activate abilities of cards in graveyards.
Whenever a creature dies, you gain 1 life."
3,Bishop of Rebirth,23.535184529000162,False,"No terminal matches '~' in the current parser context, at line 2 col 10

Whenever ~ attacks, you may return target creatur
         ^
Expected one of: 
	* WORD
	* DASH
","Vigilance
Whenever ~ attacks, you may return target creature card with mana value 3 or less from your graveyard to the battlefield."
4,Bright Reprisal,23.600951849000012,False,"No terminal matches '.' in the current parser context, at line 1 col 34

Destroy target attacking creature.
                                 ^
Expected one of: 
	* WORD
	* DASH
","Destroy target attacking creature.
Draw a card."
5,Bishop's Soldier,24.157249881999633,False,"Unexpected end-of-input. Expected one of: 
	* DASH
	* WORD
",Lifelink
6,Demystify,25.248715018999974,False,"No terminal matches '.' in the current parser context, at line 1 col 27

Destroy target enchantment.
                          ^
Expected one of: 
	* WORD
	* DASH
",Destroy target enchantment.
7,Emissary of Sunrise,28.908509172999857,False,"No terminal matches '~' in the current parser context, at line 2 col 6

When ~ enters, it explores. (Reveal the top c
     ^
Expected one of: 
	* WORD
	* DASH
","First strike
When ~ enters, it explores. (Reveal the top card of your library. Put that card into your hand if it is a land. Otherwise, put a +1/+1 counter on this creature, then put the card back or put it into your graveyard.)"
8,Imperial Aerosaur,27.339646105000156,False,"No terminal matches '~' in the current parser context, at line 2 col 6

When ~ enters, another target creature you co
     ^
Expected one of: 
	* WORD
	* DASH
","Flying
When ~ enters, another target creature you control gets +1/+1 and gains flying until end of turn."
9,Encampment Keeper,29.176169867000226,False,"No terminal matches '{' in the current parser context, at line 2 col 1

{7}{W}, {T}, Sacrifice ~: Creatures you 
^
Expected one of: 
	* WORD
	* DASH
","First strike
{7}{W}, {T}, Sacrifice ~: Creatures you control get +2/+2 until end of turn."
10,Duskborne Skymarcher,30.856144015000154,False,"No terminal matches '{' in the current parser context, at line 2 col 1

{W}, {T}: Target attacking Vampire gets 
^
Expected one of: 
	* WORD
	* DASH
","Flying
{W}, {T}: Target attacking Vampire gets +1/+1 until end of turn."
11,Goring Ceratops,29.01909410899998,False,"No terminal matches '~' in the current parser context, at line 2 col 10

Whenever ~ attacks, other creatures you control g
         ^
Expected one of: 
	* WORD
	* DASH
","Double strike
Whenever ~ attacks, other creatures you control gain double strike until end of turn."
12,Glorifier of Dusk,30.192657469000096,False,"No terminal matches '2' in the current parser context, at line 1 col 5

Pay 2 life: ~ gains flying until end of turn
    ^
Expected one of: 
	* WORD
	* DASH
","Pay 2 life: ~ gains flying until end of turn.
Pay 2 life: ~ gains vigilance until end of turn."
13,Bellowing Aegisaur,53.536048356000265,False,"No terminal matches 'W' in the current parser context, at line 1 col 10

Enrage — Whenever ~ is dealt damage, put a +1/+1 
         ^
Expected one of: 
	* __ANON_19
	* FORAGE
	* PUT
	* DOES
	* SHUFFLE
	* DRAW
	* THIS
	* INCUBATE
	* EXERT
	* DASH
	* MONSTROSITY
	* THEN
	* SUBTYPESPELL
	* SWITCH
	* SUBTYPECREATUREA
	* EXILE
	* X
	* HERSELF
	* OTHERWISE
	* ADAPT
	* __ANON_21
	* TRANSFORM
	* ORDINAL
	* AN
	* GET
	* SHUFFLED
	* __ANON_15
	* ADD
	* TAKE
	* BOLSTER
	* IN
	* THESE
	* FROM
	* MORE
	* ITSELF
	* THE
	* CLOAK
	* CONTROLLED
	* MELD
	* DO
	* FOR
	* ATTACH
	* WOULD
	* EQUAL
	* DISCARDED
	* AS
	* TURN
	* GAIN
	* NO
	* INVESTIGATE
	* DESTROY
	* __ANON_14
	* UNTAPSYMBOL
	* CYCLED
	* THEIR
	* ONLY
	* NAMEREFSYMBOL
	* SUPPORT
	* DAMAGETYPE
	* SPEND
	* TAP
	* ONTO
	* __ANON_17
	* THAT
	* PLAYERTERM
	* ABILITYMODIFIER
	* STAR
	* SKIP
	* LBRACE
	* AMASS
	* COMBATSTATUSMODIFIER
	* IT
	* DISCOVER
	* FIGHT
	* ANY
	* CLASH
	* FATESEAL
	* PLAYED
	* WIN
	* CAN
	* REGENERATE
	* BE
	* UNTAP
	* SUBTYPEPLANAR
	* LESS
	* LEARN
	* UNDER
	* CHOSE
	* OBJECTCHARACTERISTIC
	* WHILE
	* REVEAL
	* PLAY
	* PREVENT
	* REVEALED
	* SUBTYPELAND
	* ALL
	* SURVEIL
	* ITS
	* DOUBLE
	* ABANDON
	* NUMBER
	* TARGET
	* ACTIVATE
	* ON
	* BECOME
	* ATTACKED
	* WHENEVER
	* TAPSYMBOL
	* ADDITIONAL
	* PAY
	* MANIFEST
	* QUALIFIER
	* UP
	* CAST
	* GAINED
	* TYPE
	* CONTROL
	* HAVE
	* REMAIN
	* PROLIFERATE
	* EFFECTSTATUSMODIFIER
	* SUBTYPEARTIFACT
	* SUBTYPECREATUREB
	* NON
	* IF
	* FREQUENCY
	* CONVERT
	* HAS
	* THOSE
	* COLORTERM
	* REMOVE
	* ZONE
	* LOOK
	* SEARCH
	* IS
	* YOUR
	* KEYWORDSTATUSMODIFIER
	* ATTACHED
	* BEEN
	* AFTER
	* BLOCKED
	* CREATE
	* CYCLE
	* SAME
	* ASSIGN
	* SUPERTYPE
	* POPULATE
	* __ANON_20
	* LOOKED
	* DIE
	* UNATTACH
	* LSQB
	* BLOCK
	* WITHOUT
	* FLIP
	* PLAYERCHARACTERISTIC
	* TURNED
	* EXPLORES
	* WHEN
	* DISCARD
	* GREATER
	* EACH
	* LEVEL
	* SUSPECT
	* DETAIN
	* HAD
	* WHO
	* A
	* CARDINAL
	* RETURN
	* HIMSELF
	* CHOOSE
	* CONNIVE
	* WITH
	* UNTIL
	* __ANON_18
	* INTO
	* SCRY
	* TAPPEDSTATUSMODIFIER
	* SACRIFICE
	* DREW
	* ABLE
	* TIMES
	* OTHER
	* SUBTYPEPLANESWALKER
	* UNATTACHED
	* EXCHANGE
	* GOAD
	* MAY
	* DEAL
	* ATTACK
	* AT
	* MILL
	* SUBTYPEENCHANTMENT
	* SEARCHED
	* SACRIFICED
	* COUNTER
	* LOSE
	* THEM
","Enrage — Whenever ~ is dealt damage, put a +1/+1 counter on each other creature you control."
14,Ixalan's Binding,22.970837719999963,False,"No terminal matches '~' in the current parser context, at line 1 col 6

When ~ enters, exile target nonland permanent
     ^
Expected one of: 
	* WORD
	* DASH
","When ~ enters, exile target nonland permanent an opponent controls until ~ leaves the battlefield.
Your opponents can not cast spells with the same name as the exiled card."
15,Kinjalli's Caller,23.177096999999776,False,"No terminal matches '{' in the current parser context, at line 1 col 31

Dinosaur spells you cast cost {1} less to cast.
                              ^
Expected one of: 
	* WORD
	* DASH
",Dinosaur spells you cast cost {1} less to cast.
16,Looming Altisaur,3.7669997254852206e-06,False,'text',
17,Inspiring Cleric,24.306250772000112,False,"No terminal matches '~' in the current parser context, at line 1 col 6

When ~ enters, you gain 4 life.
     ^
Expected one of: 
	* WORD
	* DASH
","When ~ enters, you gain 4 life."
