,name,duration,parsed,error,text
0,Bartered Cow,27.996931853000206,False,"No terminal matches '~' in the current parser context, at line 1 col 6

When ~ dies or when you discard it, create a 
     ^
Expected one of: 
	* DASH
	* WORD
","When ~ dies or when you discard it, create a Food token. (it is an artifact with ""{2}, {T}, Sacrifice this artifact: You gain 3 life."".)"
1,All That Glitters,28.24589663200004,False,"No terminal matches '+' in the current parser context, at line 2 col 25

Enchanted creature gets +1/+1 for each artifact and/or enchantme
                        ^
Expected one of: 
	* DASH
	* WORD
","Enchant creature
Enchanted creature gets +1/+1 for each artifact and/or enchantment you control."
2,Beloved Princess,28.14909534200069,False,"No terminal matches '~' in the current parser context, at line 2 col 1

~ can not be blocked by creatures with p
^
Expected one of: 
	* DASH
	* WORD
","Lifelink
~ can not be blocked by creatures with power 3 or greater."
3,Acclaimed Contender,28.18307600299977,False,"No terminal matches '~' in the current parser context, at line 1 col 6

When ~ enters, if you control another Knight,
     ^
Expected one of: 
	* DASH
	* WORD
","When ~ enters, if you control another Knight, look at the top five cards of your library. You may reveal a Knight, Aura, Equipment, or legendary artifact card from among them and put it into your hand. Put the rest on the bottom of your library in a random order."
4,Ardenvale Tactician,28.153615977999834,False,"Unexpected end-of-input. Expected one of: 
	* DASH
	* WORD
",Flying
5,Dizzying Swoop,28.439069752999785,False,"No terminal matches '.' in the current parser context, at line 1 col 31

Tap up to two target creatures. (Then exile this card. You may cast th
                              ^
Expected one of: 
	* DASH
	* WORD
",Tap up to two target creatures. (Then exile this card. You may cast the creature later from exile.)
6,Archon of Absolution,28.54207293499985,False,"No terminal matches '(' in the current parser context, at line 2 col 23

Protection from white (This creature can not be blocked, targe
                      ^
Expected one of: 
	* DASH
	* WORD
","Flying
Protection from white (This creature can not be blocked, targeted, dealt damage, enchanted, or equipped by anything white.)
Creatures can not attack you or planeswalkers you control unless their controller pays {1} for each of those creatures."
7,Ardenvale Paladin,51.8485377549996,False,"No terminal matches 'I' in the current parser context, at line 1 col 11

Adamant — If at least three white mana was spent t
          ^
Expected one of: 
	* FIGHT
	* REMOVE
	* CYCLED
	* MORE
	* NON
	* __ANON_20
	* TIMES
	* SACRIFICE
	* SUBTYPEPLANESWALKER
	* WITH
	* EXERT
	* THEM
	* ABLE
	* DO
	* YOUR
	* SHUFFLED
	* THIS
	* AS
	* IF
	* __ANON_18
	* FORAGE
	* CONVERT
	* SUPERTYPE
	* SURVEIL
	* DOUBLE
	* TARGET
	* POPULATE
	* TYPE
	* ITS
	* EXPLORES
	* FLIP
	* TRANSFORM
	* OBJECTCHARACTERISTIC
	* DAMAGETYPE
	* ONLY
	* ZONE
	* NO
	* COUNTER
	* GAIN
	* UNATTACH
	* CLASH
	* SUSPECT
	* SWITCH
	* BLOCKED
	* THE
	* CAST
	* CYCLE
	* SKIP
	* SEARCHED
	* BECOME
	* DETAIN
	* PLAYERCHARACTERISTIC
	* LOOK
	* COLORTERM
	* PAY
	* SUBTYPESPELL
	* REVEAL
	* SUBTYPECREATUREA
	* CONTROL
	* EXILE
	* HIMSELF
	* IS
	* LOOKED
	* DRAW
	* FATESEAL
	* ABILITYMODIFIER
	* UNTAP
	* TURNED
	* INVESTIGATE
	* LOSE
	* BLOCK
	* GOAD
	* LEARN
	* WHEN
	* GAINED
	* OTHERWISE
	* ATTACK
	* SUBTYPELAND
	* EXCHANGE
	* HAVE
	* SHUFFLE
	* FOR
	* ATTACH
	* AT
	* TAKE
	* SACRIFICED
	* PROLIFERATE
	* PLAYED
	* A
	* THAT
	* HAS
	* NAMEREFSYMBOL
	* SAME
	* OTHER
	* IN
	* __ANON_15
	* DEAL
	* FROM
	* ABANDON
	* ITSELF
	* KEYWORDSTATUSMODIFIER
	* DISCOVER
	* ANY
	* CREATE
	* UNTAPSYMBOL
	* UNATTACHED
	* ADDITIONAL
	* SUPPORT
	* INTO
	* BEEN
	* MELD
	* UNDER
	* MAY
	* WHO
	* DOES
	* THESE
	* CHOOSE
	* WIN
	* LBRACE
	* THOSE
	* HAD
	* __ANON_19
	* ALL
	* TAPPEDSTATUSMODIFIER
	* RETURN
	* ORDINAL
	* GET
	* CAN
	* MILL
	* CONNIVE
	* ADD
	* THEIR
	* SUBTYPEPLANAR
	* AN
	* FREQUENCY
	* NUMBER
	* DREW
	* REVEALED
	* MANIFEST
	* LESS
	* WOULD
	* THEN
	* EQUAL
	* LSQB
	* DESTROY
	* DISCARD
	* SCRY
	* EACH
	* SUBTYPECREATUREB
	* COMBATSTATUSMODIFIER
	* WHENEVER
	* ADAPT
	* AMASS
	* INCUBATE
	* BOLSTER
	* CLOAK
	* PLAYERTERM
	* __ANON_14
	* REGENERATE
	* SUBTYPEENCHANTMENT
	* PUT
	* DIE
	* TAP
	* STAR
	* BE
	* AFTER
	* REMAIN
	* ATTACKED
	* __ANON_17
	* LEVEL
	* MONSTROSITY
	* X
	* QUALIFIER
	* WITHOUT
	* UNTIL
	* TAPSYMBOL
	* SPEND
	* ONTO
	* EFFECTSTATUSMODIFIER
	* DASH
	* DISCARDED
	* GREATER
	* UP
	* ON
	* CHOSE
	* CARDINAL
	* PLAY
	* HERSELF
	* SEARCH
	* SUBTYPEARTIFACT
	* IT
	* __ANON_21
	* CONTROLLED
	* ACTIVATE
	* PREVENT
	* TURN
	* ASSIGN
	* ATTACHED
	* WHILE
","Adamant — If at least three white mana was spent to cast this spell, ~ enters with a +1/+1 counter on it."
8,The Circle of Loyalty,24.561000734000118,False,"No terminal matches '{' in the current parser context, at line 1 col 18

This spell costs {1} less to cast for each Knight you con
                 ^
Expected one of: 
	* DASH
	* WORD
","This spell costs {1} less to cast for each Knight you control.
Creatures you control get +1/+1.
Whenever you cast a legendary spell, create a 2/2 white Knight creature token with vigilance.
{3}{W}, {T}: Create a 2/2 white Knight creature token with vigilance."
9,Charming Prince,24.678593696999997,False,"No terminal matches '~' in the current parser context, at line 1 col 6

When ~ enters, choose one —
     ^
Expected one of: 
	* DASH
	* WORD
","When ~ enters, choose one —
• Scry 2.
• You gain 3 life.
• Exile another target creature you own. Return it to the battlefield under your control at the beginning of the next end step."
