,name,duration,parsed,error,text
0,Ancestor's Chosen,28.651386200000005,False,"No terminal matches '(' in the current parser context, at line 1 col 14

First strike (This creature deals combat damage befor
             ^
Expected one of: 
	* DASH
	* WORD
","First strike (This creature deals combat damage before creatures without first strike.)
When ~ enters, you gain 1 life for each card in your graveyard."
1,Angelic Chorus,28.222073831000003,False,"No terminal matches ',' in the current parser context, at line 1 col 39

Whenever a creature you control enters, you gain life equal to its toughness.
                                      ^
Expected one of: 
	* DASH
	* WORD
","Whenever a creature you control enters, you gain life equal to its toughness."
2,Aven Cloudchaser,28.108316402,False,"No terminal matches '(' in the current parser context, at line 1 col 8

Flying (This creature can not be blocked except
       ^
Expected one of: 
	* DASH
	* WORD
","Flying (This creature can not be blocked except by creatures with flying or reach.)
When ~ enters, destroy target enchantment."
3,Angelic Blessing,30.563359789999993,False,"No terminal matches '+' in the current parser context, at line 1 col 22

Target creature gets +3/+3 and gains flying until end of turn
                     ^
Expected one of: 
	* DASH
	* WORD
",Target creature gets +3/+3 and gains flying until end of turn. (It can not be blocked except by creatures with flying or reach.)
4,Angelic Wall,32.516628872,False,"No terminal matches '(' in the current parser context, at line 1 col 10

Defender (This creature can not attack.)
         ^
Expected one of: 
	* DASH
	* WORD
","Defender (This creature can not attack.)
Flying"
5,Aura of Silence,31.828903998,False,"No terminal matches '{' in the current parser context, at line 1 col 58

antment spells your opponents cast cost {2} more to cast.
                                        ^
Expected one of: 
	* DASH
	* WORD
","Artifact and enchantment spells your opponents cast cost {2} more to cast.
Sacrifice ~: Destroy target artifact or enchantment."
6,Angel of Mercy,32.73977179799999,False,"No terminal matches '~' in the current parser context, at line 2 col 6

When ~ enters, you gain 3 life.
     ^
Expected one of: 
	* DASH
	* WORD
","Flying
When ~ enters, you gain 3 life."
7,Bandage,24.150868047000003,False,"No terminal matches '1' in the current parser context, at line 1 col 18

Prevent the next 1 damage that would be dealt to any targ
                 ^
Expected one of: 
	* DASH
	* WORD
","Prevent the next 1 damage that would be dealt to any target this turn.
Draw a card."
8,Benalish Knight,24.917900833999994,False,"No terminal matches '(' in the current parser context, at line 1 col 7

Flash (You may cast this spell any time you co
      ^
Expected one of: 
	* DASH
	* WORD
","Flash (You may cast this spell any time you could cast an instant.)
First strike (This creature deals combat damage before creatures without first strike.)"
9,Beacon of Immortality,25.878050394,False,"No terminal matches ''' in the current parser context, at line 1 col 21

Double target player's life total. Shuffle ~ into its owner'
                    ^
Expected one of: 
	* DASH
	* WORD
",Double target player's life total. Shuffle ~ into its owner's library.
10,"Cho-Manno, Revolutionary",25.264573783000003,False,"No terminal matches '~' in the current parser context, at line 1 col 43

event all damage that would be dealt to ~f.
                                        ^
Expected one of: 
	* DASH
	* WORD
",Prevent all damage that would be dealt to ~f.
11,Condemn,25.818202748000004,False,"No terminal matches ''' in the current parser context, at line 1 col 57

king creature on the bottom of its owner's library. Its controller gains life eq
                                        ^
Expected one of: 
	* DASH
	* WORD
",Put target attacking creature on the bottom of its owner's library. Its controller gains life equal to its toughness.
12,Demystify,25.85710330900001,False,"No terminal matches '.' in the current parser context, at line 1 col 27

Destroy target enchantment.
                          ^
Expected one of: 
	* DASH
	* WORD
",Destroy target enchantment.
13,Field Marshal,25.70987140199999,False,"No terminal matches '+' in the current parser context, at line 1 col 29

Other Soldier creatures get +1/+1 and have first strike. (They deal 
                            ^
Expected one of: 
	* DASH
	* WORD
",Other Soldier creatures get +1/+1 and have first strike. (They deal combat damage before creatures without first strike.)
14,Glorious Anthem,25.972040092999976,False,"No terminal matches '+' in the current parser context, at line 1 col 27

Creatures you control get +1/+1.
                          ^
Expected one of: 
	* DASH
	* WORD
",Creatures you control get +1/+1.
15,Heart of Light,27.779173229999998,False,"No terminal matches '(' in the current parser context, at line 1 col 18

Enchant creature (Target a creature as you cast this. Thi
                 ^
Expected one of: 
	* DASH
	* WORD
","Enchant creature (Target a creature as you cast this. This card enters attached to that creature.)
Prevent all damage that would be dealt to and dealt by enchanted creature."
16,Holy Day,26.47315205999999,False,"No terminal matches '.' in the current parser context, at line 1 col 56

bat damage that would be dealt this turn.
                                        ^
Expected one of: 
	* DASH
	* WORD
",Prevent all combat damage that would be dealt this turn.
17,High Ground,27.887032715000004,False,"No terminal matches '.' in the current parser context, at line 1 col 71

block an additional creature each combat.
                                        ^
Expected one of: 
	* DASH
	* WORD
",Each creature you control can block an additional creature each combat.
18,Holy Strength,27.33328191199999,False,"No terminal matches '+' in the current parser context, at line 2 col 25

Enchanted creature gets +1/+2.
                        ^
Expected one of: 
	* DASH
	* WORD
","Enchant creature
Enchanted creature gets +1/+2."
19,Ghost Warden,52.98949816,False,"No terminal matches 'T' in the current parser context, at line 1 col 6

{T}: Target creature gets +1/+1 until end of 
     ^
Expected one of: 
	* ANY
	* ADDITIONAL
	* TYPE
	* WHENEVER
	* TAPSYMBOL
	* ONLY
	* __ANON_17
	* SKIP
	* SUBTYPELAND
	* ATTACHED
	* TARGET
	* MILL
	* AN
	* CONTROL
	* A
	* BE
	* THEIR
	* FLIP
	* CLASH
	* SCRY
	* OTHER
	* UNATTACHED
	* AFTER
	* SACRIFICE
	* IS
	* DOUBLE
	* THAT
	* ACTIVATE
	* ITSELF
	* PUT
	* THESE
	* LBRACE
	* IF
	* ADAPT
	* SUBTYPECREATUREA
	* EXERT
	* PAY
	* FREQUENCY
	* WHILE
	* TIMES
	* __ANON_14
	* PLAY
	* AS
	* BOLSTER
	* CLOAK
	* TAPPEDSTATUSMODIFIER
	* ABILITYMODIFIER
	* TURN
	* GREATER
	* COLORTERM
	* GET
	* DASH
	* PLAYERTERM
	* LSQB
	* QUALIFIER
	* __ANON_15
	* WOULD
	* UNTIL
	* ATTACH
	* UNATTACH
	* SEARCH
	* SAME
	* SEARCHED
	* FORAGE
	* __ANON_21
	* FATESEAL
	* NAMEREFSYMBOL
	* CONNIVE
	* KEYWORDSTATUSMODIFIER
	* CARDINAL
	* DISCOVER
	* SUBTYPEENCHANTMENT
	* OBJECTCHARACTERISTIC
	* PLAYERCHARACTERISTIC
	* CAST
	* MORE
	* INCUBATE
	* CYCLED
	* FIGHT
	* ASSIGN
	* ADD
	* SHUFFLE
	* DO
	* DISCARDED
	* COMBATSTATUSMODIFIER
	* LOSE
	* SUPERTYPE
	* ZONE
	* CREATE
	* OTHERWISE
	* PREVENT
	* EXILE
	* __ANON_20
	* THIS
	* MONSTROSITY
	* DIE
	* ATTACKED
	* HIMSELF
	* UNTAP
	* EXPLORES
	* MAY
	* LEVEL
	* ONTO
	* STAR
	* NON
	* WHEN
	* DESTROY
	* DAMAGETYPE
	* DETAIN
	* THOSE
	* REVEALED
	* REGENERATE
	* BECOME
	* GOAD
	* TAP
	* REMOVE
	* SUBTYPECREATUREB
	* CAN
	* HERSELF
	* ORDINAL
	* BLOCK
	* CONTROLLED
	* INVESTIGATE
	* RETURN
	* YOUR
	* ON
	* EFFECTSTATUSMODIFIER
	* ABANDON
	* PLAYED
	* SUBTYPEPLANESWALKER
	* BEEN
	* MELD
	* THEN
	* DREW
	* WITH
	* X
	* IN
	* HAD
	* FOR
	* SURVEIL
	* ABLE
	* DOES
	* SUSPECT
	* UNDER
	* CONVERT
	* SUBTYPESPELL
	* __ANON_19
	* EXCHANGE
	* REMAIN
	* SACRIFICED
	* SUBTYPEARTIFACT
	* UP
	* SUPPORT
	* CHOSE
	* SPEND
	* MANIFEST
	* ITS
	* EQUAL
	* LOOK
	* INTO
	* NUMBER
	* SUBTYPEPLANAR
	* THE
	* COUNTER
	* LOOKED
	* REVEAL
	* POPULATE
	* CYCLE
	* PROLIFERATE
	* ALL
	* TAKE
	* IT
	* WITHOUT
	* SHUFFLED
	* BLOCKED
	* THEM
	* AT
	* LEARN
	* HAS
	* SWITCH
	* AMASS
	* GAINED
	* UNTAPSYMBOL
	* DRAW
	* WIN
	* TURNED
	* FROM
	* __ANON_18
	* TRANSFORM
	* DISCARD
	* CHOOSE
	* WHO
	* DEAL
	* GAIN
	* NO
	* HAVE
	* EACH
	* ATTACK
	* LESS
",{T}: Target creature gets +1/+1 until end of turn.
20,Loyal Sentry,28.99261989500002,False,"No terminal matches '~' in the current parser context, at line 1 col 6

When ~ blocks a creature, destroy that creatu
     ^
Expected one of: 
	* DASH
	* WORD
","When ~ blocks a creature, destroy that creature and ~."
21,Hail of Arrows,69.25996397399999,False,"No terminal matches 'X' in the current parser context, at line 1 col 9

~ deals X damage divided as you choose among any
        ^
Expected one of: 
	* ANY
	* ADDITIONAL
	* TYPE
	* ONLY
	* __ANON_17
	* SKIP
	* SUBTYPELAND
	* ATTACHED
	* TARGET
	* MILL
	* AN
	* CONTROL
	* A
	* THEIR
	* FLIP
	* CLASH
	* SCRY
	* OTHER
	* UNATTACHED
	* SACRIFICE
	* DOUBLE
	* THAT
	* ACTIVATE
	* ITSELF
	* PUT
	* THESE
	* LBRACE
	* ADAPT
	* SUBTYPECREATUREA
	* EXERT
	* PAY
	* FREQUENCY
	* TIMES
	* __ANON_14
	* PLAY
	* BOLSTER
	* CLOAK
	* TAPPEDSTATUSMODIFIER
	* ABILITYMODIFIER
	* TURN
	* GREATER
	* COLORTERM
	* GET
	* PLAYERTERM
	* QUALIFIER
	* __ANON_15
	* ATTACH
	* UNATTACH
	* SEARCH
	* SAME
	* SEARCHED
	* FORAGE
	* __ANON_21
	* FATESEAL
	* CONNIVE
	* NAMEREFSYMBOL
	* KEYWORDSTATUSMODIFIER
	* CARDINAL
	* DISCOVER
	* SUBTYPEENCHANTMENT
	* OBJECTCHARACTERISTIC
	* PLAYERCHARACTERISTIC
	* CAST
	* MORE
	* INCUBATE
	* CYCLED
	* FIGHT
	* ASSIGN
	* ADD
	* SHUFFLE
	* DISCARDED
	* COMBATSTATUSMODIFIER
	* LOSE
	* SUPERTYPE
	* ZONE
	* CREATE
	* PREVENT
	* EXILE
	* __ANON_20
	* THIS
	* MONSTROSITY
	* DIE
	* ATTACKED
	* HIMSELF
	* UNTAP
	* EXPLORES
	* LEVEL
	* ONTO
	* STAR
	* NON
	* DESTROY
	* DAMAGETYPE
	* DETAIN
	* THOSE
	* REVEALED
	* REGENERATE
	* GOAD
	* TAP
	* REMOVE
	* SUBTYPECREATUREB
	* HERSELF
	* ORDINAL
	* BLOCK
	* CONTROLLED
	* INVESTIGATE
	* RETURN
	* YOUR
	* ON
	* EFFECTSTATUSMODIFIER
	* ABANDON
	* PLAYED
	* SUBTYPEPLANESWALKER
	* MELD
	* DREW
	* WITH
	* X
	* IN
	* SURVEIL
	* ABLE
	* SUSPECT
	* UNDER
	* CONVERT
	* SUBTYPESPELL
	* __ANON_19
	* EXCHANGE
	* REMAIN
	* SACRIFICED
	* SUBTYPEARTIFACT
	* UP
	* SUPPORT
	* CHOSE
	* SPEND
	* MANIFEST
	* ITS
	* EQUAL
	* LOOK
	* INTO
	* NUMBER
	* SUBTYPEPLANAR
	* THE
	* COUNTER
	* LOOKED
	* REVEAL
	* POPULATE
	* CYCLE
	* PROLIFERATE
	* ALL
	* TAKE
	* IT
	* WITHOUT
	* SHUFFLED
	* BLOCKED
	* THEM
	* LEARN
	* SWITCH
	* AMASS
	* GAINED
	* DRAW
	* WIN
	* TURNED
	* FROM
	* __ANON_18
	* TRANSFORM
	* DISCARD
	* CHOOSE
	* WHO
	* DEAL
	* GAIN
	* NO
	* EACH
	* ATTACK
	* LESS
",~ deals X damage divided as you choose among any number of target attacking creatures.
22,Luminesce,23.817508336000003,False,"No terminal matches '.' in the current parser context, at line 1 col 75

ces and red sources would deal this turn.
                                        ^
Expected one of: 
	* DASH
	* WORD
",Prevent all damage that black sources and red sources would deal this turn.
